level,sigma,k,n,chunk,pred,lin,chunk_lin,floor,dev,rho,rho_total,rel
worlds/l/grasp_easy.json,0.05,1,988,0.10718000680208206,0.004203702788800001,0.0010749701177701354,0.10241198539733887,0.10507065057754517,0.16592584550380707,0.7442801806459303,0.989970423124201,0.039220960272586404
worlds/l/grasp_easy.json,0.05,2,964,0.20888270437717438,0.010912097059190273,0.006677734199911356,0.21144141256809235,0.2108815312385559,0.2414865791797638,0.3880429981799599,0.968031177019551,0.05224030918082412
worlds/l/grasp_easy.json,0.05,3,948,0.20782071352005005,0.025140738114714622,0.03893589228391647,0.2198425680398941,0.19270798563957214,0.29091447591781616,-0.5487171500795232,0.8126467202213699,0.1209732066110393
worlds/l/grasp_easy.json,0.05,4,913,0.21470806002616882,0.014809977263212204,0.006001782603561878,0.2097003012895584,0.20891287922859192,0.3713459372520447,0.5947473451920666,0.9720467755014396,0.06897727668633935
worlds/l/grasp_easy.json,0.05,5,888,0.19886058568954468,0.02530498616397381,0.013825851492583752,0.1934000700712204,0.1945582926273346,0.39526861906051636,0.45363133561924907,0.9304746516528506,0.1272498825055218
worlds/l/grasp_easy.json,0.05,6,860,0.286406934261322,0.03679028898477554,0.0403553731739521,0.2769250273704529,0.2874162793159485,0.48155924677848816,-0.09690285908468543,0.8590977789066683,0.12845460281770807
worlds/l/grasp_easy.json,0.05,7,826,0.3134461045265198,0.08244213461875916,0.11102980375289917,0.3858416974544525,0.3528870642185211,0.5329808592796326,-0.34676041888458187,0.6457770501866127,0.26301853310090817
worlds/l/grasp_easy.json,0.1,1,988,0.11368688941001892,0.011317025870084763,0.0030380378011614084,0.10192769765853882,0.10507065057754517,0.30363112688064575,0.7315515722914351,0.9732771490457045,0.09954556702901067
worlds/l/grasp_easy.json,0.1,2,964,0.21660646796226501,0.04151304438710213,0.030519623309373856,0.22059687972068787,0.2108815312385559,0.44632184505462646,0.26481847429006833,0.8591010527225315,0.19165191500345274
worlds/l/grasp_easy.json,0.1,3,948,0.2083941400051117,0.06928383558988571,0.17425470054149628,0.3606773912906647,0.19270798563957214,0.5307033658027649,-1.5150844934880392,0.16382149451408767,0.33246537348980276
worlds/l/grasp_easy.json,0.1,4,915,0.22743506729602814,0.05225657299160957,0.028099434450268745,0.21729829907417297,0.2084576040506363,0.6573175191879272,0.4622794255034587,0.8764507391742951,0.22976480106118696
worlds/l/grasp_easy.json,0.1,5,888,0.21178458631038666,0.048120275139808655,0.03948567062616348,0.2124062329530716,0.1945582926273346,0.6771931052207947,0.1794379705552014,0.8135573919043656,0.2272133018655318
worlds/l/grasp_easy.json,0.1,6,858,0.27213728427886963,0.09806694090366364,0.13848848640918732,0.3009609282016754,0.2880730926990509,0.8282971382141113,-0.41218319989436525,0.4911080016978754,0.3603583432660798
worlds/l/grasp_easy.json,0.1,7,824,0.310930997133255,0.16363394260406494,0.22162291407585144,0.4596627950668335,0.3537413477897644,0.8558361530303955,-0.3543822910390839,0.28722798267401106,0.5262709222070153
worlds/l/grasp_easy.json,0.2,1,988,0.12965433299541473,0.04664997383952141,0.02272420935332775,0.10879846662282944,0.10507065057754517,0.5670698285102844,0.5128784116471247,0.8247323569654136,0.35980265959311364
worlds/l/grasp_easy.json,0.2,2,964,0.23535075783729553,0.11614902317523956,0.10624413192272186,0.2521646320819855,0.2108815312385559,0.845892071723938,0.08527743911865471,0.54857110765638,0.49351454927345756
worlds/l/grasp_easy.json,0.2,3,948,0.2523576617240906,0.15967385470867157,0.6014412045478821,0.7770817279815674,0.19270798563957214,0.962295413017273,-2.7666855706917373,-1.3832888624774702,0.6327283808931757
worlds/l/grasp_easy.json,0.2,4,914,0.26559978723526,0.1416744440793991,0.1281142681837082,0.2868994176387787,0.20774027705192566,1.092751383781433,0.09571363405591582,0.517641676157562,0.5334132438664505
worlds/l/grasp_easy.json,0.2,5,888,0.25813397765159607,0.14866036176681519,0.2310076802968979,0.3755241334438324,0.1945582926273346,1.157082438468933,-0.5539292219620089,0.10508611691294123,0.5759038895974491
worlds/l/grasp_easy.json,0.2,6,858,0.3026282489299774,0.22067143023014069,3.6612868309020996,3.9691402912139893,0.2880730926990509,1.2853212356567383,-15.59157611424235,-11.09829830442978,0.7291831843536853
worlds/l/grasp_easy.json,0.2,7,823,0.3234011232852936,0.2701423168182373,0.7543419003486633,0.9914068579673767,0.3541781008243561,1.3541057109832764,-1.7923870248592526,-1.3325271498306095,0.8353165693241172
