level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/grasp_easy.json,0.05,1,988,0.14523127675056458,0.00533022778108716,0.0015361625701189041,0.0015361625701189041,0.13889244198799133,0.14307107031345367,0.16592584550380707,0.7118017028147366,0.7118017028147366,0.9894226463852048,0.03670165201564572
worlds/l/grasp_easy.json,0.05,2,964,0.2955855429172516,0.014752759598195553,0.004903449211269617,0.004903449211269617,0.28818008303642273,0.2958008050918579,0.2414865791797638,0.6676249498521367,0.6676249498521367,0.9834110654977387,0.04991028807632026
worlds/l/grasp_easy.json,0.05,3,948,0.2778111696243286,0.04109225422143936,0.01886393129825592,0.01886393129825592,0.24893414974212646,0.25227463245391846,0.29091447591781616,0.540937053572157,0.540937053572157,0.9320980098684846,0.14791433431926637
worlds/l/grasp_easy.json,0.05,4,913,0.2816627323627472,0.018230555579066277,0.008019612170755863,0.008019612170755863,0.27278292179107666,0.2721070349216461,0.3713459372520447,0.5601005062092239,0.5601005062092239,0.9715276064267261,0.0647247700330747
worlds/l/grasp_easy.json,0.05,5,888,0.2371269315481186,0.028902769088745117,0.015094026923179626,0.015094026923179626,0.2255813032388687,0.23030540347099304,0.39526861906051636,0.4777653699258416,0.4777653699258416,0.936346214136724,0.12188733224037047
worlds/l/grasp_easy.json,0.05,6,860,0.35338354110717773,0.04797809198498726,0.03514177352190018,0.02806372381746769,0.31535762548446655,0.3537391126155853,0.48155924677848816,0.2675454135838431,0.4150721161181429,0.9005562811108907,0.13576776053199371
worlds/l/grasp_easy.json,0.05,7,826,0.4250745475292206,0.1167631521821022,0.0835588276386261,0.07976463437080383,0.40137577056884766,0.477100133895874,0.5329808592796326,0.2843733140373865,0.3168680968255807,0.8034254741331411,0.27468864664044756
worlds/l/grasp_easy.json,0.1,1,988,0.15292055904865265,0.012329185381531715,0.0027301954105496407,0.0027301954105496407,0.13868051767349243,0.14307107031345367,0.30363112688064575,0.7785583291951074,0.7785583291951074,0.982146315527914,0.08062477313864061
worlds/l/grasp_easy.json,0.1,2,964,0.30543068051338196,0.055723387748003006,0.034543752670288086,0.03447882458567619,0.2891915440559387,0.2958008050918579,0.44632184505462646,0.3800852018096109,0.38125038733109273,0.8869014972162411,0.18244201156982845
worlds/l/grasp_easy.json,0.1,3,948,0.2765069603919983,0.10388258099555969,0.0531761571764946,0.05357909947633743,0.22941464185714722,0.25227463245391846,0.5307033658027649,0.48811286101211193,0.48423403651640506,0.8076860086953767,0.37569607957892803
