level,predictor,k,n,frac,pred,lin,lin_clip,chunk,chunk_lin_clip,rs_pred,top_pred,d_pred,rs_noise,top_noise,d_noise,e,e_pred,e_noise,je,je_pred,je_noise,cos_fix,cos_spur,clip,rho_clip,res,rho_chunk,share_pred,top1_pred,share_noise,top1_noise,bound_dims
worlds_l_car_launch,oracle,1,504,0.984375,5.986689567565918,1.2298529148101807,1.2298529148101807,14.681540489196777,8.67536735534668,0.0,0.0,0.0,0.21508273482322693,0.201491117477417,29.894302368164062,0.3009219169616699,0.0,0.3009219169616699,0.02604065090417862,0.0,0.02604065090417862,0.9849927425384521,0.0,0.0,0.7945687844792966,0.2054312155207034,0.40909692945843545,,,0.007194773511499612,0.006740117731999492,2
worlds_l_car_launch,oracle,2,496,0.96875,5.140552043914795,0.546750545501709,0.546750545501709,18.162269592285156,14.961345672607422,0.0,0.0,0.0,0.4276760220527649,0.3926782011985779,62.06108856201172,0.41641947627067566,0.0,0.41641947627067566,0.038387320935726166,0.0,0.038387320935726166,0.975329577922821,0.0,0.0,0.8936397217981806,0.10636027820181941,0.17624030429750925,,,0.006891210450255462,0.006327285104034424,2
worlds_l_car_launch,oracle,3,476,0.9296875,16.98870277404785,2.2767245769500732,2.277292251586914,50.927974700927734,37.25984191894531,0.0,0.0,0.0,1.731312870979309,1.646362066268921,139.464111328125,0.5192111134529114,0.0,0.5192111134529114,0.07465444505214691,0.0,0.07465444505214691,0.9672278165817261,0.0,0.0021008404437452555,0.8659525520061642,0.13401403316255703,0.26838162841243784,,,0.012414038669102137,0.0118049156201586,2
worlds_l_car_launch,oracle,4,472,0.921875,16.03615951538086,3.4538097381591797,3.4538097381591797,88.99978637695312,83.60751342773438,0.0,0.0,0.0,1.2626959085464478,1.134821891784668,122.92579650878906,0.5760812759399414,0.0,0.5760812759399414,0.08491513133049011,0.0,0.08491513133049011,0.8910595774650574,0.0,0.0052966102957725525,0.7846236354255203,0.2153763645744797,0.060587481933721876,,,0.010272017301560998,0.009231763584330564,2
worlds_l_car_launch,oracle,5,464,0.90625,34.81865692138672,12.861248970031738,12.821611404418945,66.27408599853516,42.13742446899414,0.0,0.0,0.0,2.008172035217285,1.8672070503234863,186.48260498046875,0.6892483234405518,0.0,0.6892483234405518,0.09356220811605453,0.0,0.09356220811605453,0.8978862166404724,0.0,0.006465517450124025,0.631760310761915,0.36937808942687717,0.3641945590931952,,,0.010768682877567111,0.010012767949691866,2
worlds_l_car_launch,oracle,6,448,0.875,26.225799560546875,7.196938514709473,7.197859764099121,66.0501480102539,50.48091125488281,0.0,0.0,0.0,2.8692636489868164,2.692039728164673,186.2620391845703,0.7175952196121216,0.0,0.7175952196121216,0.08883456885814667,0.0,0.08883457630872726,0.8930549621582031,0.0,0.0033482143189758062,0.7255427905074316,0.27442208189283507,0.23571842341600902,,,0.015404446668510983,0.014452970341944359,2
worlds_l_car_launch,oracle,7,433,0.845703125,50.3839111328125,18.536304473876953,17.773521423339844,70.04798126220703,43.588294982910156,0.0,0.0,0.0,3.3058741092681885,3.001802921295166,227.50547790527344,0.8125094175338745,0.0,0.8125094175338745,0.13720440864562988,0.0,0.13720440864562988,0.863220751285553,0.0,0.01154734380543232,0.647238155519752,0.367901261674884,0.37773660000638254,,,0.014530964879204609,0.01319442041103304,2
worlds_l_car_launch,oracle,8,428,0.8359375,74.69224548339844,28.333436965942383,28.39699935913086,74.69224548339844,28.396995544433594,0.0,0.0,0.0,5.451155662536621,5.188619136810303,340.3763427734375,0.9594807028770447,0.0,0.9594807028770447,0.19027279317378998,0.0,0.19027279317378998,0.88019198179245,0.0,0.0151869161054492,0.6198132861671356,0.37933572330798315,0.6198133372393351,,,0.016015083827858854,0.015243771334202183,2
worlds_l_car_launch,oracle,9,418,0.81640625,37.29310989379883,12.664888381958008,12.84749984741211,45.62995910644531,20.968765258789062,0.0,0.0,0.0,6.295623779296875,6.159209728240967,347.958251953125,1.0009899139404297,0.0,1.0009899139404297,0.15039800107479095,0.0,0.15039800107479095,0.8914204835891724,0.0,0.014354066923260689,0.6554993701517926,0.3396039755875642,0.54046057306619,,,0.01809304347276979,0.01770100204167798,2
worlds_l_car_launch,oracle,10,410,0.80078125,55.93035888671875,29.873889923095703,30.17995834350586,58.50410079956055,38.908546447753906,0.0,0.0,0.0,6.575815677642822,6.383254051208496,485.03289794921875,1.1571686267852783,0.0,1.1571686267852783,0.14394286274909973,0.0,0.14394286274909973,0.7801082134246826,0.0,0.009756097570061684,0.46040113197499244,0.5341265551970126,0.33494326182266243,,,0.013557463226610429,0.013160455874638015,2
