predictor,k,rho_clip,res,rho_chunk,share_pred,top1_pred,share_noise,top1_noise,e,e_pred,e_noise,je,je_pred,je_noise,cos_fix,cos_spur,clip,levels,variant
learned,1,0.5740406845182225,0.5794533363500555,0.1646272302420395,0.007118637085785478,0.0033811391978915825,0.012971248379376814,0.010865469895582971,0.5425720810890198,0.49644501507282257,0.17869842052459717,0.05181760713458061,0.044770579785108566,0.02683156542479992,0.8905097544193268,0.05797961354255676,0.0016486055101267993,12,all
learned,2,0.49107319802163263,0.5380034916555148,0.09854643747218333,0.008142631580422418,0.0035898763282253728,0.013895774483008633,0.010087357347336637,0.788797527551651,0.7575757503509521,0.30438540130853653,0.06921912357211113,0.05836346745491028,0.03860730677843094,0.85972461104393,0.1097501702606678,0.0056741195730865,12,all
learned,3,0.45181245358038186,0.5451228088585243,0.12036155817493,0.009305570767182674,0.004874694497203904,0.01275364552987174,0.009894043315530326,1.014469027519226,0.9805302023887634,0.3936905860900879,0.10618880018591881,0.09351635724306107,0.06783727183938026,0.8481116890907288,0.08723244816064835,0.008824397576972842,12,all
learned,4,0.3976446588654292,0.6096725132947837,0.11398453021449123,0.010303316135993976,0.004204834624983109,0.016087528122904027,0.01179212173205729,1.229327917098999,1.191510796546936,0.48461757600307465,0.10369308665394783,0.08835706487298012,0.06949356198310852,0.8428379893302917,0.06242971681058407,0.0071594202890992165,12,all
learned,5,0.40127094619638215,0.6134726014952261,0.1459086016913687,0.010821129113500146,0.004779963610947881,0.016663377047517317,0.013966627933509845,1.2490431666374207,1.203663408756256,0.5509836077690125,0.1170591413974762,0.10989096760749817,0.10897334665060043,0.7910721898078918,0.07909149304032326,0.006687685148790479,12,all
learned,6,0.32070806687880377,0.6912014727268958,0.06328520406981425,0.01080027032104142,0.005725402369585015,0.015606195349630937,0.010960759028862711,1.318066418170929,1.2695019245147705,0.6022801995277405,0.14928194135427475,0.1026020273566246,0.13457361608743668,0.7704029977321625,0.08507438376545906,0.011261343490332365,12,all
learned,7,0.3030097418849722,0.720452885094478,0.18959035622234366,0.013910417566284323,0.007780339173450575,0.017384467426998295,0.012554759549356493,1.4349182844161987,1.3968256711959839,0.6922556161880493,0.18195151537656784,0.16325680911540985,0.16168291866779327,0.7832367420196533,0.1180616095662117,0.013972508255392313,12,all
learned,8,0.34470400133660145,0.7064599816490564,0.030060409743568994,0.014809749805715864,0.006281041343138345,0.014166990765180128,0.010440247312727047,1.6829621195793152,1.657175064086914,0.8229927122592926,0.21267053484916687,0.16352924704551697,0.17888574302196503,0.7598434090614319,-0.12875207141041756,0.016148046124726534,12,all
learned,9,0.40296282152003937,0.5984157179465162,0.18012644548328444,0.013486237721390027,0.007788636833893239,0.01459706054074508,0.00992923879073894,1.6847696900367737,1.6540338397026062,0.8599196672439575,0.20672722160816193,0.14088891074061394,0.15497278422117233,0.7291714251041412,-0.038073038682341576,0.02215573750436306,12,all
learned,10,0.3177883357349174,0.6944443599978274,0.11570659912858822,0.013197042480103584,0.00800289020950587,0.02012957754238695,0.01190626039506607,1.816590428352356,1.760919451713562,0.9103567004203796,0.20303986221551895,0.15784597396850586,0.16172589361667633,0.720064252614975,-5.786167457699776e-05,0.018831418827176094,12,all
learned,11,0.35335521755425064,0.6473333231178927,0.14592221629579916,0.013591593700879662,0.006961723813973681,0.015209938765453991,0.009367091798097416,1.9879857897758484,1.9292929768562317,0.9528450667858124,0.25699856877326965,0.21844343841075897,0.2039480358362198,0.7505206167697906,0.013277182821184397,0.02553365658968687,12,all
learned,12,0.4205455737165103,0.6038738646313384,0.16169874217726443,0.013846577457477322,0.00697912153725929,0.014740786319363545,0.007758322718621067,2.16059011220932,2.134143114089966,1.0597970485687256,0.2702578157186508,0.21880819648504257,0.26200151443481445,0.722417414188385,0.024658085079863667,0.030733083374798298,12,all
learned,13,0.3297390866254955,0.6873125847795865,0.13254448330414137,0.016638294314372824,0.007209822890321677,0.018509856239714427,0.00967563953155175,2.2632691264152527,2.241409182548523,1.1015716195106506,0.3087017387151718,0.25146882981061935,0.2494567111134529,0.6835595667362213,0.009623106103390455,0.04227852635085583,12,all
learned,14,0.26777360015226137,0.7444828279027695,0.06413753141767181,0.015605821424257349,0.008058951805176063,0.017938299149438938,0.010876991171045106,2.3896909952163696,2.3077893257141113,1.1602665781974792,0.31079354882240295,0.22978755831718445,0.28383368253707886,0.6925461888313293,0.04838265012949705,0.03594804368913174,12,all
learned,15,0.28203512240509837,0.7405424277045933,0.11732286460696578,0.016217793611593898,0.010360859789078778,0.020533578456611558,0.013222001617622978,2.567183017730713,2.4034252166748047,1.206505537033081,0.3995473235845566,0.3384207487106323,0.23476899415254593,0.6949141919612885,0.021565392147749662,0.042998163029551506,12,all
learned,16,0.24080969745324088,0.7675921675256262,0.06187555344288631,0.013981511520062164,0.00906358307211742,0.016370471752153747,0.007877526866090705,2.7897515296936035,2.5966118574142456,1.2865142226219177,0.4402746111154556,0.2885061800479889,0.31794553995132446,0.6184206902980804,-0.1524912267923355,0.048133330419659615,12,all
learned,17,0.2869214878295119,0.7235622740892447,0.129846555169275,0.01421023213904701,0.007950237676786818,0.022183739225798985,0.016997977152202172,2.906179666519165,2.720434546470642,1.3554510474205017,0.40209293365478516,0.30913034081459045,0.31645137071609497,0.6123932898044586,-0.09093497321009636,0.047780971974134445,12,all
learned,18,0.28312485643326274,0.7113043826322195,0.052786738699312497,0.013347367186591286,0.006962917265823796,0.017922441858688676,0.009326652744123233,3.0694756507873535,2.9053961038589478,1.6302068829536438,0.40879519283771515,0.3483741283416748,0.3157183527946472,0.5786813199520111,-0.09267590567469597,0.05140198580920696,12,all
learned,19,0.2706354784313976,0.7265631407308173,0.07782406191129876,0.014448347218552985,0.0068726606921411006,0.01765550764609077,0.010064401658006723,3.299349784851074,3.180474638938904,1.7574912309646606,0.4311523139476776,0.35836098343133926,0.3289349526166916,0.6076790988445282,-0.06404626928269863,0.06173722259700298,12,all
learned,20,0.30010527542235454,0.721144296408653,0.1265030213236637,0.01353499142404923,0.008425886626548758,0.015514495924335153,0.008082659773438373,3.4896399974823,3.345926284790039,1.6959223747253418,0.5295989960432053,0.27000588178634644,0.33834993839263916,0.5956418812274933,-0.04766214266419411,0.06130323372781277,12,all
learned,21,0.2769503114789047,0.7502496767596947,0.1059728830559315,0.011799819006496997,0.00847187890482633,0.017114341315558862,0.01098165821055245,3.639783263206482,3.5166221857070923,1.8158832788467407,0.42237885296344757,0.29729537665843964,0.3646989017724991,0.6014861464500427,-0.036979835480451584,0.048679256811738014,12,all
learned,22,0.25325778671222204,0.7598780421778424,0.0900506044948034,0.014433034054864645,0.007643465409077896,0.01743230426840427,0.012625167391364805,3.7018593549728394,3.6493197679519653,1.963334858417511,0.41510023176670074,0.39292602241039276,0.31706051528453827,0.5776895582675934,-0.03458019718527794,0.053656620904803276,12,all
learned,23,0.180274387379527,0.8237973445927098,-0.015227936047102597,0.013404966019239867,0.00650361726399525,0.013550992433591709,0.008653997529637792,4.011241793632507,3.919230103492737,2.153231918811798,0.6138962209224701,0.35713669657707214,0.37385812401771545,0.5418733656406403,-0.0372788505628705,0.056512607261538506,12,all
learned,24,0.28223508561850086,0.7362494955374779,-0.09249849641906682,0.0144492024992504,0.006945041206764944,0.01791301687581224,0.011992645878529197,4.08486533164978,3.9817270040512085,2.322229743003845,0.5591255724430084,0.4825829416513443,0.42622606456279755,0.5568209886550903,-0.15631698071956635,0.0705544464290142,12,all
learned,25,0.23844220892225415,0.7668075088961848,0.07784268977639125,0.013734405581951468,0.0075164411918381925,0.024769614112070334,0.017540648617681356,4.149548292160034,4.122303605079651,2.4754446148872375,0.6810709238052368,0.3918953090906143,0.46738046407699585,0.5951594412326813,-0.09149540960788727,0.07943590357899666,12,all
learned,26,0.24914260023885804,0.7813478743612086,0.11999395533493584,0.01499324824371636,0.007523319247455326,0.02026485483519079,0.012669502897190748,4.134145736694336,4.240976810455322,2.605875849723816,0.5694506168365479,0.38887354731559753,0.4598342627286911,0.5650404691696167,-0.08106915652751923,0.09322819858789444,12,all
learned,27,0.2260051631157377,0.8154243662515068,0.06385243073168523,0.015178246903800548,0.005874299856770406,0.021417744774180514,0.014484855134298494,4.26882266998291,4.433229446411133,2.6978771090507507,0.5389736890792847,0.44889387488365173,0.48348677158355713,0.5617769658565521,-0.029473578557372093,0.06186127848923206,12,all
learned,28,0.19721526723611982,0.8024565589266435,0.06296171227266989,0.016227325622225366,0.00763442523787997,0.017193173963518195,0.01049053731369659,4.295274257659912,4.527263164520264,3.6215872764587402,0.6088870167732239,0.4798491895198822,0.5074799060821533,0.5167958736419678,-0.03021148033440113,0.07404181361198425,11,all
learned,29,0.1648885706754345,0.8596716309373644,0.08258382587903446,0.012561016814760677,0.008647982422066167,0.017195480137445422,0.011459049828747821,4.386610984802246,4.523336410522461,3.687021017074585,0.8696664571762085,0.4638235569000244,0.4816809296607971,0.4727272689342499,-0.024128645658493042,0.08387096971273422,11,all
