predictor,rho_clip,res,rho_chunk,share_pred,top1_pred,share_noise,top1_noise,e,e_pred,e_noise,je,je_pred,je_noise,cos_fix,cos_spur,clip
learned,0.33938396743399907,0.6682960776524431,0.14549933813055438,0.011055580125969328,0.004680892181729476,0.01333082561765488,0.01099534851005364,1.145267733505794,1.1048068510634559,0.46925385296344757,0.10203868496630873,0.09201628901064396,0.08859391404049738,0.828126038823809,0.07301585203302759,0.007777802022506615
oracle,0.48768000554727836,0.5216761449094598,0.13390855853289751,,,0.013611451001283185,0.012101360814425678,0.46925385296344757,0.0,0.46925385296344757,0.08584639616310596,0.0,0.0858463958970138,0.9139373983655658,0.0,0.0030531731068289703
phys0.1,0.44858208854685616,0.5488560553900268,0.06554383397074809,0.009990087742539117,0.00801750452873222,0.012417629961720505,0.01067523916216875,0.725407185299056,0.6034939363598824,0.46925385296344757,0.1397147366244878,0.09935122754956995,0.08858294838241168,0.8408930216516768,0.03524639074956732,0.006794268415043396
phys0.2,0.3827686101210051,0.6185905268426577,0.03782592249166905,0.015242917051021494,0.010048005585240088,0.012199844939085481,0.010505107874881804,1.0965586400457792,1.054010811660971,0.46925385296344757,0.19125431509954588,0.18149912836296217,0.0822135770161237,0.769428517137255,0.06089707621556174,0.014006804092787206
phys0.3,0.30388034040448086,0.7055794050947464,-0.03094291695422513,0.012499734907036125,0.009569074612340852,0.012411264856298548,0.010424815253177937,1.5277276848043715,1.513485882963453,0.46925385296344757,0.2473369887364762,0.23144886323383876,0.086035445066435,0.7117002436092922,0.09616928441183908,0.025363726142261712
