method,batch,evals_per_call,gflop_per_call,ms_per_call,latency_vs_realtime
naive,1,5,0.005188115,1.194388302974403,0.6426992503364491
realtime,1,15,0.015564345000000002,1.8583938013762236,1.0
pred,1,40,0.04150492,2.001575252506882,1.0770458075272453
reflex,1,460,0.47730658000000004,3.5172018921002746,1.8926031121582678
reflex_chunk,1,460,0.47730658000000004,3.584619949106127,1.9288807067972116
rtc_reflex,1,470,0.48768281,4.2054682970047,2.262958633358744
