level,predictor,k,err,ratio
worlds/l/catapult.json,phys0.1,4,0.17565685510635376,1.3021557351099364
worlds/l/catapult.json,phys0.1,5,0.24969744682312012,1.9343774277966774
worlds/l/catapult.json,phys0.1,6,0.3318139612674713,2.258889925407201
worlds/l/catapult.json,phys0.1,7,0.30593574047088623,1.9743128730565191
worlds/l/catapult.json,phys0.2,1,0.1942967176437378,3.2116983466715534
worlds/l/catapult.json,phys0.2,2,0.235245943069458,2.869643703192118
worlds/l/catapult.json,phys0.2,3,0.2933728098869324,3.1921270474579613
worlds/l/catapult.json,phys0.2,4,0.33962303400039673,2.5176477242023503
worlds/l/catapult.json,phys0.2,5,0.5206819772720337,4.03366344634288
worlds/l/catapult.json,phys0.2,6,0.48008865118026733,3.2682995414387084
worlds/l/catapult.json,phys0.2,7,0.6065686941146851,3.914404964063582
worlds/l/catapult.json,phys0.3,1,0.2846490740776062,4.705210523797551
worlds/l/catapult.json,phys0.3,2,0.3545176386833191,4.324577487900603
worlds/l/catapult.json,phys0.3,3,0.4061073660850525,4.418767737717847
worlds/l/catapult.json,phys0.3,4,0.48035717010498047,3.5609190633332384
worlds/l/catapult.json,phys0.3,5,0.7080084681510925,5.484860245489565
worlds/l/catapult.json,phys0.3,6,0.6848994493484497,4.662590025267332
worlds/l/catapult.json,phys0.3,7,0.6954473257064819,4.4879705965759795
worlds/l/cartpole_thrust.json,hold,1,851.9553833007812,75.95657753426885
worlds/l/cartpole_thrust.json,hold,2,11.230449676513672,15.97428862255609
worlds/l/cartpole_thrust.json,hold,3,8.32997989654541,11.26782742633343
worlds/l/cartpole_thrust.json,hold,4,7.425311088562012,7.677642670755623
worlds/l/cartpole_thrust.json,hold,5,4.875057220458984,3.3634275870197095
worlds/l/cartpole_thrust.json,hold,6,7.478413105010986,6.896340975429148
worlds/l/cartpole_thrust.json,hold,7,6.885169506072998,4.098668090488777
worlds/l/cartpole_thrust.json,learned,1,22.90679168701172,2.0422683311123286
worlds/l/cartpole_thrust.json,learned,2,37.40105438232422,53.199582803939386
worlds/l/cartpole_thrust.json,learned,3,42.88933563232422,58.01570211898625
worlds/l/cartpole_thrust.json,learned,4,43.484153747558594,44.96185955470972
worlds/l/cartpole_thrust.json,learned,5,43.733577728271484,30.17292211320756
worlds/l/cartpole_thrust.json,learned,6,54.98816680908203,50.708237510322505
worlds/l/cartpole_thrust.json,learned,7,66.91695404052734,39.83495017758037
worlds/l/cartpole_thrust.json,noise,1,11.216347694396973,1.0
worlds/l/cartpole_thrust.json,noise,2,0.7030328512191772,1.0
worlds/l/cartpole_thrust.json,noise,3,0.7392711639404297,1.0
worlds/l/cartpole_thrust.json,noise,4,0.9671342372894287,1.0
worlds/l/cartpole_thrust.json,noise,5,1.449431300163269,1.0
worlds/l/cartpole_thrust.json,noise,6,1.0844030380249023,1.0
worlds/l/cartpole_thrust.json,noise,7,1.6798553466796875,1.0
worlds/l/cartpole_thrust.json,oracle,1,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,2,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,3,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,4,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,5,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,6,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,7,0.0,0.0
worlds/l/cartpole_thrust.json,phys0.1,1,14.982547760009766,1.3357777565592197
worlds/l/cartpole_thrust.json,phys0.1,2,4.281435012817383,6.0899501430020715
worlds/l/cartpole_thrust.json,phys0.1,3,2.6756303310394287,3.61928134296204
worlds/l/cartpole_thrust.json,phys0.1,4,4.4336042404174805,4.584269762637574
worlds/l/cartpole_thrust.json,phys0.1,5,4.094841003417969,2.8251363158479545
worlds/l/cartpole_thrust.json,phys0.1,6,2.4295637607574463,2.2404619643841808
worlds/l/cartpole_thrust.json,phys0.1,7,3.5296881198883057,2.101185752014243
worlds/l/cartpole_thrust.json,phys0.2,1,29.455204010009766,2.626095839087072
worlds/l/cartpole_thrust.json,phys0.2,2,10.875012397766113,15.468711567186388
worlds/l/cartpole_thrust.json,phys0.2,3,7.70919942855835,10.428107850801489
worlds/l/cartpole_thrust.json,phys0.2,4,10.381332397460938,10.73411735123402
worlds/l/cartpole_thrust.json,phys0.2,5,6.946874618530273,4.792827792353975
worlds/l/cartpole_thrust.json,phys0.2,6,4.404374122619629,4.061565643196295
worlds/l/cartpole_thrust.json,phys0.2,7,9.025041580200195,5.372511149866928
worlds/l/cartpole_thrust.json,phys0.3,1,43.177730560302734,3.849535672104012
worlds/l/cartpole_thrust.json,phys0.3,2,17.187435150146484,24.44755621354049
worlds/l/cartpole_thrust.json,phys0.3,3,17.840505599975586,24.132559837560727
worlds/l/cartpole_thrust.json,phys0.3,4,18.587312698364258,19.21895842552179
worlds/l/cartpole_thrust.json,phys0.3,5,10.140857696533203,6.996439013971136
worlds/l/cartpole_thrust.json,phys0.3,6,7.506932735443115,6.922640819151527
worlds/l/cartpole_thrust.json,phys0.3,7,37.046409606933594,22.05333315166544
worlds/l/hard_lunar_lander.json,hold,1,0.7577341198921204,10.784385774301182
worlds/l/hard_lunar_lander.json,hold,2,1.540008783340454,15.333532640505993
worlds/l/hard_lunar_lander.json,hold,3,2.133255958557129,15.823341421828857
worlds/l/hard_lunar_lander.json,hold,4,2.5957751274108887,13.290439630948956
worlds/l/hard_lunar_lander.json,hold,5,3.0555996894836426,14.50095145382668
worlds/l/hard_lunar_lander.json,hold,6,3.4905343055725098,13.537220657250948
worlds/l/hard_lunar_lander.json,hold,7,3.9135489463806152,13.804442418605277
worlds/l/hard_lunar_lander.json,learned,1,0.24078579246997833,3.4269631085594647
worlds/l/hard_lunar_lander.json,learned,2,0.30317720770835876,3.0186695430203048
worlds/l/hard_lunar_lander.json,learned,3,0.4605436325073242,3.4160641190668986
worlds/l/hard_lunar_lander.json,learned,4,0.5074933767318726,2.5983799657133178
worlds/l/hard_lunar_lander.json,learned,5,0.6592000722885132,3.1283640587848476
worlds/l/hard_lunar_lander.json,learned,6,0.8514213562011719,3.3020385311184253
worlds/l/hard_lunar_lander.json,learned,7,0.9263938069343567,3.26771177261114
worlds/l/hard_lunar_lander.json,noise,1,0.07026214897632599,1.0
worlds/l/hard_lunar_lander.json,noise,2,0.10043404996395111,1.0
worlds/l/hard_lunar_lander.json,noise,3,0.13481703400611877,1.0
worlds/l/hard_lunar_lander.json,noise,4,0.19531145691871643,1.0
worlds/l/hard_lunar_lander.json,noise,5,0.21071718633174896,1.0
worlds/l/hard_lunar_lander.json,noise,6,0.2578471899032593,1.0
worlds/l/hard_lunar_lander.json,noise,7,0.28349924087524414,1.0
worlds/l/hard_lunar_lander.json,oracle,1,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,2,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,3,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,4,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,5,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,6,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,7,0.0,0.0
worlds/l/hard_lunar_lander.json,phys0.1,1,0.06292833387851715,0.8956221065729162
worlds/l/hard_lunar_lander.json,phys0.1,2,0.13199852406978607,1.3142806062004313
worlds/l/hard_lunar_lander.json,phys0.1,3,0.19768917560577393,1.4663516154553708
worlds/l/hard_lunar_lander.json,phys0.1,4,0.33495160937309265,1.7149613988722168
worlds/l/hard_lunar_lander.json,phys0.1,5,0.3365169167518616,1.5970074515993964
worlds/l/hard_lunar_lander.json,phys0.1,6,0.5270384550094604,2.0439953416098815
worlds/l/hard_lunar_lander.json,phys0.1,7,0.5479058027267456,1.9326535091776682
worlds/l/hard_lunar_lander.json,phys0.2,1,0.12761971354484558,1.816336610880569
worlds/l/hard_lunar_lander.json,phys0.2,2,0.26146864891052246,2.6033864909796196
worlds/l/hard_lunar_lander.json,phys0.2,3,0.39579537510871887,2.935796489119879
worlds/l/hard_lunar_lander.json,phys0.2,4,0.5963521003723145,3.0533390604960813
worlds/l/hard_lunar_lander.json,phys0.2,5,0.6883325576782227,3.2666180184967235
worlds/l/hard_lunar_lander.json,phys0.2,6,0.9229605793952942,3.5794866709293065
worlds/l/hard_lunar_lander.json,phys0.2,7,1.0016016960144043,3.5329960423250877
worlds/l/hard_lunar_lander.json,phys0.3,1,0.19349263608455658,2.7538673226426886
worlds/l/hard_lunar_lander.json,phys0.3,2,0.39166972041130066,3.8997702527368263
worlds/l/hard_lunar_lander.json,phys0.3,3,0.5862435102462769,4.348437974237512
worlds/l/hard_lunar_lander.json,phys0.3,4,0.8848610520362854,4.530512781974391
worlds/l/hard_lunar_lander.json,phys0.3,5,1.0849802494049072,5.148987931609602
worlds/l/hard_lunar_lander.json,phys0.3,6,1.3279266357421875,5.150052774437477
worlds/l/hard_lunar_lander.json,phys0.3,7,1.481220006942749,5.224775919574933
worlds/l/mjc_half_cheetah.json,hold,1,4.183279037475586,20.883584594349713
worlds/l/mjc_half_cheetah.json,hold,2,6.717874526977539,20.09632995378854
worlds/l/mjc_half_cheetah.json,hold,3,8.462336540222168,15.714961642504623
worlds/l/mjc_half_cheetah.json,hold,4,9.31513500213623,11.915400233455856
worlds/l/mjc_half_cheetah.json,hold,5,9.706939697265625,10.764522979623836
worlds/l/mjc_half_cheetah.json,hold,6,9.572297096252441,8.524337833991746
worlds/l/mjc_half_cheetah.json,hold,7,9.149116516113281,6.919799291757986
worlds/l/mjc_half_cheetah.json,learned,1,0.9106236696243286,4.545976079494989
worlds/l/mjc_half_cheetah.json,learned,2,1.1395111083984375,3.4088149649745407
worlds/l/mjc_half_cheetah.json,learned,3,1.4452691078186035,2.6839335075499076
worlds/l/mjc_half_cheetah.json,learned,4,1.7437524795532227,2.230510743772668
worlds/l/mjc_half_cheetah.json,learned,5,1.9305648803710938,2.140902350950363
worlds/l/mjc_half_cheetah.json,learned,6,2.1933727264404297,1.9532459061850145
worlds/l/mjc_half_cheetah.json,learned,7,2.532339572906494,1.9152976740680205
worlds/l/mjc_half_cheetah.json,noise,1,0.2003142237663269,1.0
worlds/l/mjc_half_cheetah.json,noise,2,0.33428364992141724,1.0
worlds/l/mjc_half_cheetah.json,noise,3,0.5384891629219055,1.0
worlds/l/mjc_half_cheetah.json,noise,4,0.7817727327346802,1.0
worlds/l/mjc_half_cheetah.json,noise,5,0.9017528891563416,1.0
worlds/l/mjc_half_cheetah.json,noise,6,1.1229373216629028,1.0
worlds/l/mjc_half_cheetah.json,noise,7,1.3221650123596191,1.0
worlds/l/mjc_half_cheetah.json,oracle,1,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,2,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,3,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,4,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,5,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,6,0.0,0.0
worlds/l/mjc_half_cheetah.json,oracle,7,0.0,0.0
worlds/l/mjc_half_cheetah.json,phys0.1,1,0.3702213764190674,1.8482031353447108
worlds/l/mjc_half_cheetah.json,phys0.1,2,0.6554262638092041,1.960688965683127
worlds/l/mjc_half_cheetah.json,phys0.1,3,0.9195665121078491,1.7076787713204349
worlds/l/mjc_half_cheetah.json,phys0.1,4,1.1982402801513672,1.5327220175099516
worlds/l/mjc_half_cheetah.json,phys0.1,5,1.457902431488037,1.616742734089841
worlds/l/mjc_half_cheetah.json,phys0.1,6,1.7416229248046875,1.5509529260507644
worlds/l/mjc_half_cheetah.json,phys0.1,7,1.8505176305770874,1.3996117075239625
worlds/l/mjc_half_cheetah.json,phys0.2,1,0.7036781311035156,3.512871516924226
worlds/l/mjc_half_cheetah.json,phys0.2,2,1.2131820917129517,3.6291996093681047
worlds/l/mjc_half_cheetah.json,phys0.2,3,1.6968978643417358,3.1512200823767156
worlds/l/mjc_half_cheetah.json,phys0.2,4,2.0278525352478027,2.5939156615942243
worlds/l/mjc_half_cheetah.json,phys0.2,5,2.431807279586792,2.696755739659379
worlds/l/mjc_half_cheetah.json,phys0.2,6,2.681272029876709,2.3877308004209397
worlds/l/mjc_half_cheetah.json,phys0.2,7,2.8571794033050537,2.1609854871336753
worlds/l/mjc_half_cheetah.json,phys0.3,1,1.071799874305725,5.350592954177905
worlds/l/mjc_half_cheetah.json,phys0.3,2,1.7510569095611572,5.238236778773931
worlds/l/mjc_half_cheetah.json,phys0.3,3,2.3839621543884277,4.427131163518257
worlds/l/mjc_half_cheetah.json,phys0.3,4,2.8467578887939453,3.6414136354383246
worlds/l/mjc_half_cheetah.json,phys0.3,5,3.32550311088562,3.687820855219972
worlds/l/mjc_half_cheetah.json,phys0.3,6,3.6584360599517822,3.2579165278202558
worlds/l/mjc_half_cheetah.json,phys0.3,7,3.9066355228424072,2.954726139568902
worlds/l/mjc_swimmer.json,hold,1,3.4738659858703613,9.761509469988011
worlds/l/mjc_swimmer.json,hold,2,4.346678256988525,5.762251107645647
worlds/l/mjc_swimmer.json,hold,3,5.035964488983154,4.170985318472966
worlds/l/mjc_swimmer.json,hold,4,5.6730570793151855,3.326426986269111
worlds/l/mjc_swimmer.json,hold,5,5.989804744720459,2.8931640516587946
worlds/l/mjc_swimmer.json,hold,6,6.126097679138184,2.564367227034588
worlds/l/mjc_swimmer.json,hold,7,6.296568870544434,2.457546533352912
worlds/l/mjc_swimmer.json,learned,1,0.9993619918823242,2.8081916767613158
worlds/l/mjc_swimmer.json,learned,2,1.5199525356292725,2.014952030994482
worlds/l/mjc_swimmer.json,learned,3,1.9179561138153076,1.5885272443242349
worlds/l/mjc_swimmer.json,learned,4,2.2774438858032227,1.3353912529933372
worlds/l/mjc_swimmer.json,learned,5,2.598362684249878,1.2550475068272422
worlds/l/mjc_swimmer.json,learned,6,2.8927230834960938,1.2108857319505524
worlds/l/mjc_swimmer.json,learned,7,3.1005470752716064,1.2101414076445105
worlds/l/mjc_swimmer.json,noise,1,0.35587385296821594,1.0
worlds/l/mjc_swimmer.json,noise,2,0.7543368339538574,1.0
worlds/l/mjc_swimmer.json,noise,3,1.2073800563812256,1.0
worlds/l/mjc_swimmer.json,noise,4,1.7054506540298462,1.0
worlds/l/mjc_swimmer.json,noise,5,2.0703301429748535,1.0
worlds/l/mjc_swimmer.json,noise,6,2.3889315128326416,1.0
worlds/l/mjc_swimmer.json,noise,7,2.562136173248291,1.0
worlds/l/mjc_swimmer.json,oracle,1,0.0,0.0
worlds/l/mjc_swimmer.json,oracle,2,0.0,0.0
