method,batch,evals_per_call,gflop_per_call,ms_per_call,latency_vs_realtime
naive,1,5,0.005188115,1.1633150978013873,0.6295230651194474
realtime,1,15,0.015564345000000002,1.847930857911706,1.0
pred,1,25,0.025940575000000004,1.9599496969021857,1.06061852287973
reflex,1,265,0.274970095,3.2802828471176326,1.775111245679715
reflex_chunk,1,265,0.274970095,3.293706791009754,1.7823755563732933
rtc_reflex,1,275,0.285346325,3.9435772574506704,2.13405022193698
